===================================
Host: play.litecloud.me:25565
Version: 1.12.2
Date: 20.01.2021 13-13-24
===================================
[13:13:35:179] New connection from ::ffff:127.0.0.1
[13:13:42:736] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:42:767] CLIENT -> SERVER: play.position {"x":0.5,"y":60,"z":0,"onGround":false}
[13:13:42:769] CLIENT -> SERVER: play.position {"x":0.5,"y":59.9216,"z":0,"onGround":false}
[13:13:42:846] CLIENT -> SERVER: play.position {"x":0.5,"y":59.766368,"z":0,"onGround":false}
[13:13:42:881] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":7}
[13:13:42:883] CLIENT -> SERVER: play.teleport_confirm {"teleportId":7}
[13:13:42:886] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:42:903] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:42:962] CLIENT -> SERVER: play.position {"x":0.5,"y":59.9216,"z":0,"onGround":false}
[13:13:43:24] CLIENT -> SERVER: play.position {"x":0.5,"y":59.766368,"z":0,"onGround":false}
[13:13:43:26] CLIENT -> SERVER: play.position {"x":0.5,"y":59.535840639999996,"z":0,"onGround":false}
[13:13:43:37] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":8}
[13:13:43:39] CLIENT -> SERVER: play.teleport_confirm {"teleportId":8}
[13:13:43:41] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:43:44] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:43:81] CLIENT <- SERVER: play.update_time {"age":[0,1814],"time":[20,1379846080]}
[13:13:43:131] CLIENT <- SERVER: play.update_time {"age":[0,1815],"time":[20,1379846081]}
[13:13:43:134] CLIENT -> SERVER: play.position {"x":0.5,"y":59.9216,"z":0,"onGround":false}
[13:13:43:196] CLIENT -> SERVER: play.position {"x":0.5,"y":59.766368,"z":0,"onGround":false}
[13:13:43:232] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":9}
[13:13:43:236] CLIENT -> SERVER: play.teleport_confirm {"teleportId":9}
[13:13:43:238] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:43:240] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:43:326] CLIENT -> SERVER: play.position {"x":0.5,"y":59.9216,"z":0,"onGround":false}
[13:13:43:341] CLIENT -> SERVER: play.position {"x":0.5,"y":59.766368,"z":0,"onGround":false}
[13:13:43:386] CLIENT -> SERVER: play.position {"x":0.5,"y":59.535840639999996,"z":0,"onGround":false}
[13:13:43:449] CLIENT -> SERVER: play.position {"x":0.5,"y":59.23152382719999,"z":0,"onGround":false}
[13:13:43:480] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":10}
[13:13:43:482] CLIENT -> SERVER: play.teleport_confirm {"teleportId":10}
[13:13:43:485] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:43:488] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:43:573] CLIENT -> SERVER: play.position {"x":0.5,"y":59.9216,"z":0,"onGround":false}
[13:13:43:575] CLIENT -> SERVER: play.position {"x":0.5,"y":59.766368,"z":0,"onGround":false}
[13:13:43:582] CLIENT <- SERVER: play.update_time {"age":[0,1824],"time":[20,1379870080]}
[13:13:43:636] CLIENT -> SERVER: play.position {"x":0.5,"y":59.535840639999996,"z":0,"onGround":false}
[13:13:43:684] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":11}
[13:13:43:691] CLIENT -> SERVER: play.position {"x":0.5,"y":59.23152382719999,"z":0,"onGround":false}
[13:13:43:693] CLIENT -> SERVER: play.teleport_confirm {"teleportId":11}
[13:13:43:696] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:43:699] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:43:807] CLIENT -> SERVER: play.position {"x":0.5,"y":59.9216,"z":0,"onGround":false}
[13:13:43:871] CLIENT -> SERVER: play.position {"x":0.5,"y":59.766368,"z":0,"onGround":false}
[13:13:43:873] CLIENT -> SERVER: play.position {"x":0.5,"y":59.535840639999996,"z":0,"onGround":false}
[13:13:43:881] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":12}
[13:13:43:883] CLIENT -> SERVER: play.teleport_confirm {"teleportId":12}
[13:13:43:885] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:43:887] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:43:933] CLIENT -> SERVER: play.position {"x":0.5,"y":60,"z":0,"onGround":false}
[13:13:43:996] CLIENT -> SERVER: play.position {"x":0.5,"y":59.9216,"z":0,"onGround":false}
[13:13:44:58] CLIENT -> SERVER: play.position {"x":0.5,"y":59.766368,"z":0,"onGround":false}
[13:13:44:81] CLIENT <- SERVER: play.update_time {"age":[0,1834],"time":[20,1379894080]}
[13:13:44:82] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":13}
[13:13:44:85] CLIENT -> SERVER: play.teleport_confirm {"teleportId":13}
[13:13:44:87] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:44:89] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:44:121] CLIENT -> SERVER: play.position {"x":0.5,"y":59.9216,"z":0,"onGround":false}
[13:13:44:131] CLIENT <- SERVER: play.update_time {"age":[0,1835],"time":[20,1379894081]}
[13:13:44:181] CLIENT -> SERVER: play.position {"x":0.5,"y":59.766368,"z":0,"onGround":false}
[13:13:44:232] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":14}
[13:13:44:234] CLIENT -> SERVER: play.position {"x":0.5,"y":59.535840639999996,"z":0,"onGround":false}
[13:13:44:236] CLIENT -> SERVER: play.teleport_confirm {"teleportId":14}
[13:13:44:238] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:44:241] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:44:361] CLIENT -> SERVER: play.position {"x":0.5,"y":59.9216,"z":0,"onGround":false}
[13:13:44:417] CLIENT -> SERVER: play.position {"x":0.5,"y":59.766368,"z":0,"onGround":false}
[13:13:44:420] CLIENT -> SERVER: play.position {"x":0.5,"y":59.535840639999996,"z":0,"onGround":false}
[13:13:44:479] CLIENT -> SERVER: play.position {"x":0.5,"y":59.23152382719999,"z":0,"onGround":false}
[13:13:44:482] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":15}
[13:13:44:484] CLIENT -> SERVER: play.teleport_confirm {"teleportId":15}
[13:13:44:487] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:44:489] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:44:581] CLIENT <- SERVER: play.update_time {"age":[0,1844],"time":[20,1379918080]}
[13:13:44:603] CLIENT -> SERVER: play.position {"x":0.5,"y":59.9216,"z":0,"onGround":false}
[13:13:44:616] CLIENT <- SERVER: play.chat {"message":"{\"text\":\"\",\"extra\":[{\"text\":\"[\",\"color\":\"white\"},{\"text\":\"Auth\",\"color\":\"red\"},{\"text\":\"] Login - \",\"color\":\"white\"},{\"text\":\"/login \\u003cpassword\\u003e\",\"color\":\"red\"}]}","position":1}
[13:13:44:664] CLIENT -> SERVER: play.position {"x":0.5,"y":59.766368,"z":0,"onGround":false}
[13:13:44:682] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":16}
[13:13:44:684] CLIENT -> SERVER: play.teleport_confirm {"teleportId":16}
[13:13:44:686] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:44:687] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:44:706] Connection closed by client error from ::ffff:127.0.0.1
[13:13:44:709] Connection closed by client from ::ffff:127.0.0.1
[13:13:44:778] Connection closed by server from ::ffff:127.0.0.1
